  0.000000  -0.003866  -0.007396  -0.010959  -0.010591
  0.001000  -0.003914  -0.007537  -0.011319  -0.010960
  0.002000  -0.003935  -0.007616  -0.011562  -0.011110
  0.003000  -0.003916  -0.007604  -0.011638  -0.010965
  0.004000  -0.003864  -0.007513  -0.011578  -0.010609
  0.005000  -0.003807  -0.007397  -0.011486  -0.010264
  0.006000  -0.003783  -0.007329  -0.011498  -0.010198
  0.007000  -0.003821  -0.007374  -0.011723  -0.010606
  0.008000  -0.003932  -0.007559  -0.012191  -0.011509
  0.009000  -0.004099  -0.007859  -0.012833  -0.012713
  0.010000  -0.004280  -0.008199  -0.013491  -0.013864
  0.011000  -0.004421  -0.008476  -0.013971  -0.014558
  0.012000  -0.004470  -0.008592  -0.014106  -0.014492
  0.013000  -0.004398  -0.008489  -0.013821  -0.013581
  0.014000  -0.004205  -0.008170  -0.013161  -0.012009
  0.015000  -0.003929  -0.007705  -0.012293  -0.010195
  0.016000  -0.003631  -0.007209  -0.011450  -0.008664
  0.017000  -0.003381  -0.006817  -0.010874  -0.007886
  0.018000  -0.003240  -0.006636  -0.010734  -0.008128
  0.019000  -0.003241  -0.006720  -0.011084  -0.009363
  0.020000  -0.003382  -0.007052  -0.011844  -0.011279
  0.021000  -0.003630  -0.007553  -0.012838  -0.013382
  0.022000  -0.003932  -0.008109  -0.013842  -0.015144
  0.023000  -0.004229  -0.008600  -0.014654  -0.016173
  0.024000  -0.004474  -0.008937  -0.015148  -0.016316
  0.025000  -0.004640  -0.009082  -0.015295  -0.015701
  0.026000  -0.004723  -0.009048  -0.015162  -0.014668
  0.027000  -0.004738  -0.008894  -0.014876  -0.013660
  0.028000  -0.004712  -0.008695  -0.014579  -0.013071
  0.029000  -0.004670  -0.008525  -0.014386  -0.013132
  0.030000  -0.004632  -0.008435  -0.014360  -0.013855
  0.031000  -0.004609  -0.008443  -0.014510  -0.015049
  0.032000  -0.004604  -0.008539  -0.014800  -0.016407
  0.033000  -0.004620  -0.008693  -0.015175  -0.017607
  0.034000  -0.004657  -0.008868  -0.015583  -0.018422
  0.035000  -0.004715  -0.009032  -0.015982  -0.018764
  0.036000  -0.004792  -0.009158  -0.016339  -0.018686
  0.037000  -0.004879  -0.009232  -0.016620  -0.018328
  0.038000  -0.004958  -0.009244  -0.016785  -0.017850
  0.039000  -0.005008  -0.009191  -0.016792  -0.017380
  0.040000  -0.005011  -0.009081  -0.016617  -0.016989
  0.041000  -0.004963  -0.008933  -0.016278  -0.016712
  0.042000  -0.004879  -0.008786  -0.015848  -0.016579
  0.043000  -0.004790  -0.008686  -0.015454  -0.016639
  0.044000  -0.004737  -0.008682  -0.015239  -0.016953
  0.045000  -0.004757  -0.008803  -0.015319  -0.017565
  0.046000  -0.004861  -0.009050  -0.015733  -0.018455
  0.047000  -0.005033  -0.009383  -0.016425  -0.019513
  0.048000  -0.005233  -0.009735  -0.017250  -0.020553
  0.049000  -0.005408  -0.010029  -0.018021  -0.021362
  0.050000  -0.005510  -0.010205  -0.018574  -0.021780
